City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,san juan,40,PR,1518199080,65,18.47,-66.12,80.6,17.22
1,nizhniy kuranakh,68,RU,1518200346,30,58.84,125.49,-21.97,4.43
2,podporozhye,92,RU,1518200254,89,60.91,34.16,19.75,4.32
3,yaan,48,NG,1518200347,51,7.38,8.57,90.72,9.06
4,sulangan,20,PH,1518200347,100,11.14,123.72,79.24,7.61
5,yellowknife,90,CA,1518199200,71,62.45,-114.38,8.6,9.17
6,esperance,40,TT,1518199200,55,10.24,-61.45,86.0,13.87
7,arlit,12,NE,1518200348,29,18.74,7.39,75.42,6.67
8,ponta delgada,20,PT,1518199200,68,37.73,-25.67,64.4,6.93
9,muros,40,ES,1518197400,75,42.77,-9.06,44.6,4.7
10,clyde river,20,CA,1518199200,66,70.47,-68.59,-29.21,9.17
11,kosh-agach,20,RU,1518200350,50,49.99,88.66,-14.05,3.09
12,coihaique,75,CL,1518195600,66,-45.58,-72.07,53.6,9.17
13,sitka,8,US,1518200350,53,37.17,-99.65,33.21,17.67
14,albany,90,US,1518198840,57,42.65,-73.75,23.0,10.29
15,ancud,76,CL,1518200351,80,-41.87,-73.83,56.29,7.83
16,ponta do sol,12,BR,1518200351,63,-20.63,-46.0,85.0,9.06
17,puerto madryn,0,AR,1518200351,84,-42.77,-65.04,62.46,20.2
18,havre-saint-pierre,75,CA,1518199680,78,50.23,-63.6,8.6,4.7
19,kabanjahe,20,ID,1518195600,88,3.1,98.49,77.0,4.7
20,champerico,75,MX,1518198360,45,16.38,-93.6,82.4,6.93
21,qaanaaq,56,GL,1518200353,89,77.48,-69.36,-15.67,6.93
22,kemise,0,ET,1518200354,57,10.72,39.87,44.05,2.01
23,cape town,75,ZA,1518199200,68,-33.93,18.42,71.6,24.16
24,barrow,0,AR,1518200354,41,-38.31,-60.23,77.62,16.22
25,hasaki,75,JP,1518197400,86,35.73,140.83,30.2,4.7
26,mahebourg,75,MU,1518199200,94,-20.41,57.7,78.8,2.24
27,busselton,0,AU,1518200355,100,-33.64,115.35,63.67,16.96
28,port alfred,44,ZA,1518200355,90,-33.59,26.89,73.53,10.18
29,marabba,0,SD,1518200356,25,12.35,32.18,77.31,5.66
30,rikitea,20,PF,1518200356,100,-23.12,-134.97,77.58,4.81
31,hilo,1,US,1518195360,77,19.71,-155.08,59.0,8.05
32,jamestown,0,AU,1518200357,77,-33.21,138.6,67.05,2.24
33,puerto baquerizo moreno,20,EC,1518195600,78,-0.9,-89.6,80.6,9.17
34,leningradskiy,88,RU,1518200358,93,69.38,178.42,16.42,15.95
35,marsh harbour,44,BS,1518200358,100,26.54,-77.06,74.43,15.66
36,samarai,92,PG,1518200359,100,-10.62,150.67,76.32,7.05
37,dikson,68,RU,1518200359,95,73.51,80.55,18.54,28.3
38,kalmunai,20,LK,1518200360,97,7.42,81.82,72.9,3.42
39,dawson,1,US,1518198900,56,39.85,-89.46,51.8,11.41
40,chuy,88,UY,1518200153,100,-33.69,-53.46,72.99,8.16
41,jaisalmer,0,IN,1518200360,52,26.91,70.91,55.53,5.44
42,lagoa,40,PT,1518199200,93,37.14,-8.45,51.8,3.36
43,ushuaia,75,AR,1518195600,65,-54.81,-68.31,46.4,25.28
44,bandarbeyla,24,SO,1518200362,100,9.49,50.81,74.25,14.99
45,mataura,92,NZ,1518200362,95,-46.19,168.86,53.59,3.31
46,port keats,8,AU,1518200362,100,-14.25,129.55,76.72,5.26
47,castro,76,CL,1518200363,82,-42.48,-73.76,56.52,8.05
48,hay river,90,CA,1518199200,78,60.82,-115.79,10.4,8.05
49,tobermory,92,CA,1518200075,100,45.25,-81.67,21.37,9.57
50,sao filipe,76,CV,1518200364,95,14.9,-24.5,69.52,22.21
51,eirunepe,80,BR,1518200364,74,-6.66,-69.87,85.32,2.91
52,nikolskoye,75,RU,1518197400,92,59.7,30.79,21.2,2.24
53,puerto carreno,20,CO,1518195600,41,6.19,-67.49,93.2,9.17
54,punta arenas,40,CL,1518195600,40,-53.16,-70.91,51.8,16.11
55,santa isabel do rio negro,68,BR,1518200366,43,-0.41,-65.02,94.32,9.91
56,kruisfontein,76,ZA,1518200366,81,-34.0,24.73,68.4,10.92
57,concepcion,0,CO,1518200367,35,9.56,-73.66,97.83,4.88
58,avarua,20,CK,1518199200,94,-21.21,-159.78,80.6,5.82
59,padang,24,ID,1518200368,100,-0.92,100.36,77.58,4.76
60,atuona,48,PF,1518200368,100,-9.8,-139.03,80.95,18.01
61,bredasdorp,0,ZA,1518199200,69,-34.53,20.04,73.4,8.05
62,qarqin,92,AF,1518200369,91,37.41,66.03,29.2,3.13
63,poya,64,NC,1518200369,100,-21.35,165.16,73.12,13.2
64,korcula,20,HR,1518199200,66,42.96,17.14,48.2,5.82
65,college,1,US,1518199080,74,64.86,-147.8,-20.21,3.09
66,casas grandes,0,MX,1518200370,29,30.15,-110.24,72.54,2.86
67,saint-philippe,90,CA,1518199200,61,45.36,-73.48,23.0,8.05
68,mbeya,92,TZ,1518200371,98,-8.91,33.47,59.22,0.34
69,roebourne,0,AU,1518200371,81,-20.77,117.15,80.5,6.55
70,hobart,20,AU,1518199200,87,-42.88,147.33,60.8,5.82
71,mendeleyevo,0,RU,1518197400,85,56.04,37.23,23.0,11.18
72,severo-kurilsk,20,RU,1518200372,100,50.68,156.12,24.12,12.64
73,balsas,92,BR,1518200372,97,-7.53,-46.04,76.86,4.59
74,amapa,40,HN,1518199200,79,15.09,-87.97,84.2,4.7
75,vaini,80,IN,1518200373,50,15.34,74.49,68.58,4.09
76,vostok,80,RU,1518200373,75,46.45,135.83,13.99,4.32
77,kurilsk,48,RU,1518200374,100,45.23,147.88,26.95,14.32
78,san quintin,8,PH,1518200374,84,17.54,120.52,63.09,3.36
79,yatou,40,CM,1518199200,88,3.63,9.81,82.4,2.24
80,hermanus,8,ZA,1518200375,55,-34.42,19.24,71.82,11.7
81,atar,0,MR,1518199200,36,20.52,-13.05,62.6,11.41
82,kaitangata,92,NZ,1518200376,92,-46.28,169.85,55.8,5.37
83,butaritari,0,KI,1518200376,99,3.07,172.79,82.57,11.86
84,wetaskiwin,5,CA,1518199200,76,52.97,-113.37,-5.81,4.7
85,arraial do cabo,0,BR,1518195600,75,-22.97,-42.02,89.6,17.22
86,cidreira,24,BR,1518200377,100,-30.17,-50.22,74.74,7.05
